feedback,satisfaction,improvement_score,User ID,Timestamp,Category,Feedback Sentiment,Customer Type,Response Time (hrs),Resolved Status,Resolution Time (days),Feedback Length,Engagement Score
"Very satisfying, good quality.",4,4,U00001,2024-12-15 07:57:59.220317,Software,Negative,New User,40,Yes,1.0,30,5.28
Needs improvement in texture.,2,5,U00002,2024-05-21 07:57:59.220335,Software,Neutral,Returning User,15,No,,29,8.8
"Not as expected, needs improvement.",2,3,U00003,2024-08-24 07:57:59.220339,Electronics,Positive,VIP User,49,No,,35,2.35
"Mild flavors, could be stronger.",5,1,U00004,2024-04-03 07:57:59.220341,Electronics,Negative,VIP User,21,No,,32,5.86
Portion size could be larger.,4,4,U00005,2024-04-22 07:57:59.220343,Software,Positive,VIP User,32,Yes,3.0,29,1.79
Too spicy for me.,5,3,U00006,2024-05-25 07:57:59.220346,Clothing,Negative,New User,49,Yes,4.0,17,1.14
"Not as expected, needs improvement.",2,3,U00007,2024-08-07 07:57:59.220348,Service,Positive,New User,53,Yes,19.0,35,2.88
"Amazing experience, will buy again.",2,5,U00008,2025-01-22 07:57:59.220351,Electronics,Positive,Returning User,25,No,,35,4.88
"Very satisfying, good quality.",4,4,U00009,2025-03-09 07:57:59.220355,Electronics,Neutral,New User,12,No,,30,3.33
Delicious and well-seasoned.,5,5,U00010,2024-08-22 07:57:59.220357,Clothing,Neutral,Returning User,25,No,,28,8.8
Perfect balance of flavors.,3,3,U00011,2025-03-19 07:57:59.220359,Electronics,Positive,VIP User,45,No,,27,8.58
"Very satisfying, good quality.",4,4,U00012,2025-01-13 07:57:59.220361,Service,Neutral,Returning User,31,Yes,3.0,30,2.67
Portion size could be larger.,4,4,U00013,2024-07-31 07:57:59.220363,Electronics,Neutral,Returning User,64,Yes,18.0,29,8.12
Portion size could be larger.,4,4,U00014,2024-06-15 07:57:59.220365,Service,Neutral,Returning User,41,No,,29,5.87
Too spicy for me.,5,3,U00015,2025-02-24 07:57:59.220367,Electronics,Negative,Returning User,65,No,,17,2.84
"Amazing experience, will buy again.",2,5,U00016,2024-12-06 07:57:59.220369,Service,Positive,Returning User,68,No,,35,9.8
Needs improvement in texture.,2,5,U00017,2024-09-04 07:57:59.220371,Electronics,Negative,VIP User,11,No,,29,2.86
Too spicy for me.,5,3,U00018,2024-04-28 07:57:59.220373,Service,Neutral,Returning User,16,Yes,9.0,17,6.25
Too spicy for me.,5,3,U00019,2024-12-19 07:57:59.220375,Software,Negative,New User,37,Yes,14.0,17,2.92
Perfect balance of flavors.,3,3,U00020,2024-06-08 07:57:59.220377,Food,Positive,Returning User,25,Yes,23.0,27,6.42
Lacked freshness.,4,4,U00021,2025-03-10 07:57:59.220379,Food,Positive,Returning User,35,No,,17,1.28
"Amazing experience, will buy again.",2,5,U00022,2024-04-18 07:57:59.220381,Clothing,Negative,Returning User,57,No,,35,2.91
Too salty for my preference.,1,5,U00023,2024-07-20 07:57:59.220383,Clothing,Negative,VIP User,3,Yes,3.0,28,9.13
Too spicy for me.,5,3,U00024,2024-04-06 07:57:59.220385,Electronics,Negative,New User,39,No,,17,1.86
Great value for money.,3,5,U00025,2024-10-19 07:57:59.220387,Clothing,Neutral,Returning User,57,No,,22,1.96
Would recommend to friends!,3,3,U00026,2024-09-05 07:57:59.220390,Food,Negative,VIP User,54,No,,27,5.9
Lacked freshness.,4,4,U00027,2024-12-26 07:57:59.220393,Clothing,Negative,New User,25,No,,17,9.7
Too salty for my preference.,1,5,U00028,2024-08-18 07:57:59.220396,Service,Negative,New User,63,No,,28,4.91
Great value for money.,3,5,U00029,2024-10-27 07:57:59.220399,Clothing,Neutral,New User,32,No,,22,5.57
"Amazing experience, will buy again.",2,5,U00030,2024-05-03 07:57:59.220402,Software,Positive,VIP User,29,No,,35,7.71
"Great taste, loved it!",4,1,U00031,2024-09-03 07:57:59.220407,Food,Neutral,VIP User,23,No,,22,9.35
Great value for money.,3,5,U00032,2024-06-12 07:57:59.220410,Clothing,Positive,New User,45,No,,22,7.85
Delicious and well-seasoned.,5,5,U00033,2024-08-22 07:57:59.220414,Software,Neutral,New User,70,Yes,28.0,28,4.66
Lacked freshness.,4,4,U00034,2025-01-01 07:57:59.220418,Clothing,Neutral,Returning User,2,No,,17,6.96
"Not as expected, needs improvement.",2,3,U00035,2024-12-09 07:57:59.220421,Software,Negative,Returning User,23,No,,35,8.85
Great value for money.,3,5,U00036,2024-10-19 07:57:59.220424,Food,Neutral,VIP User,47,No,,22,1.06
Could be less oily.,5,5,U00037,2024-10-14 07:57:59.220428,Service,Neutral,VIP User,20,Yes,4.0,19,8.71
"Great taste, loved it!",4,1,U00038,2024-11-28 07:57:59.220431,Software,Positive,Returning User,19,No,,22,9.87
Portion size could be larger.,4,4,U00039,2024-10-03 07:57:59.220434,Service,Negative,Returning User,43,No,,29,8.92
Portion size could be larger.,4,4,U00040,2024-09-14 07:57:59.220437,Food,Neutral,Returning User,51,Yes,27.0,29,7.52
"Mild flavors, could be stronger.",5,1,U00041,2025-01-16 07:57:59.220441,Electronics,Neutral,VIP User,45,Yes,9.0,32,5.23
Delicious and well-seasoned.,5,5,U00042,2024-07-02 07:57:59.220455,Food,Neutral,VIP User,34,No,,28,9.18
Great value for money.,3,5,U00043,2024-09-17 07:57:59.220457,Service,Neutral,New User,71,No,,22,3.52
Great value for money.,3,5,U00044,2024-05-01 07:57:59.220459,Service,Positive,New User,30,Yes,13.0,22,3.77
"Mild flavors, could be stronger.",5,1,U00045,2024-10-09 07:57:59.220461,Clothing,Negative,VIP User,23,Yes,27.0,32,7.26
Would recommend to friends!,3,3,U00046,2024-12-27 07:57:59.220463,Electronics,Neutral,VIP User,33,Yes,30.0,27,9.45
Would recommend to friends!,3,3,U00047,2024-09-03 07:57:59.220465,Service,Negative,VIP User,13,No,,27,4.49
"Mild flavors, could be stronger.",5,1,U00048,2024-08-06 07:57:59.220467,Software,Positive,VIP User,15,Yes,14.0,32,7.68
Would recommend to friends!,3,3,U00049,2024-04-18 07:57:59.220468,Software,Negative,VIP User,22,No,,27,2.05
Perfect balance of flavors.,3,3,U00050,2025-02-13 07:57:59.220470,Electronics,Neutral,New User,22,No,,27,9.11
Great value for money.,3,5,U00051,2024-11-14 07:57:59.220472,Service,Neutral,Returning User,34,No,,22,5.15
"Very satisfying, good quality.",4,4,U00052,2025-01-18 07:57:59.220474,Clothing,Negative,VIP User,58,Yes,15.0,30,2.69
Needs improvement in texture.,2,5,U00053,2024-05-15 07:57:59.220476,Clothing,Positive,New User,7,Yes,13.0,29,5.94
Could be less oily.,5,5,U00054,2024-05-03 07:57:59.220478,Clothing,Negative,New User,57,No,,19,4.43
Perfect balance of flavors.,3,3,U00055,2024-07-01 07:57:59.220480,Food,Neutral,New User,68,Yes,3.0,27,7.76
"Amazing experience, will buy again.",2,5,U00056,2024-10-21 07:57:59.220482,Electronics,Positive,VIP User,32,Yes,11.0,35,5.94
Perfect balance of flavors.,3,3,U00057,2025-03-20 07:57:59.220484,Service,Neutral,VIP User,17,Yes,27.0,27,6.4
"Very satisfying, good quality.",4,4,U00058,2025-02-21 07:57:59.220486,Food,Positive,VIP User,44,Yes,24.0,30,8.91
"Amazing experience, will buy again.",2,5,U00059,2024-11-01 07:57:59.220487,Clothing,Neutral,New User,31,No,,35,3.97
Could be less oily.,5,5,U00060,2024-08-25 07:57:59.220489,Clothing,Positive,Returning User,43,Yes,4.0,19,7.12
"Very satisfying, good quality.",4,4,U00061,2024-07-06 07:57:59.220491,Clothing,Negative,VIP User,16,No,,30,4.01
Too salty for my preference.,1,5,U00062,2024-08-10 07:57:59.220493,Service,Positive,Returning User,5,Yes,23.0,28,8.84
Needs improvement in texture.,2,5,U00063,2024-11-14 07:57:59.220495,Electronics,Positive,New User,45,Yes,25.0,29,9.71
Could be less oily.,5,5,U00064,2024-12-27 07:57:59.220497,Food,Positive,Returning User,60,Yes,22.0,19,7.22
Great value for money.,3,5,U00065,2024-11-27 07:57:59.220499,Food,Negative,Returning User,1,No,,22,6.1
Would recommend to friends!,3,3,U00066,2024-11-13 07:57:59.220501,Software,Negative,New User,70,No,,27,2.94
Too salty for my preference.,1,5,U00067,2024-12-23 07:57:59.220503,Service,Negative,Returning User,38,No,,28,2.73
Delicious and well-seasoned.,5,5,U00068,2024-07-31 07:57:59.220505,Clothing,Positive,VIP User,18,No,,28,7.04
Could be less oily.,5,5,U00069,2024-05-31 07:57:59.220507,Clothing,Positive,New User,7,No,,19,3.95
Delicious and well-seasoned.,5,5,U00070,2024-11-07 07:57:59.220509,Electronics,Neutral,Returning User,70,Yes,28.0,28,6.97
"Amazing experience, will buy again.",2,5,U00071,2024-08-22 07:57:59.220510,Electronics,Negative,VIP User,29,No,,35,2.94
Too salty for my preference.,1,5,U00072,2024-03-28 07:57:59.220512,Clothing,Negative,Returning User,20,No,,28,6.52
Needs improvement in texture.,2,5,U00073,2025-02-26 07:57:59.220514,Clothing,Negative,Returning User,10,Yes,8.0,29,8.33
Great value for money.,3,5,U00074,2025-03-02 07:57:59.220516,Clothing,Positive,New User,45,Yes,2.0,22,9.81
"Mild flavors, could be stronger.",5,1,U00075,2024-05-29 07:57:59.220518,Service,Positive,Returning User,65,Yes,20.0,32,5.09
