Food_Item,Sodium_Level (mg),Taste_Score,Enhancement,Spicy Level,Texture,Calorie Count,Protiens (g),Fat(g),Carbs(g),Sugar(g),Fiber(g),Cuisine,Prep Method,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16
Apple,1,8,No,Low,Soft,95,0.5,0.3,25,19.0,4,America,Raw,1.8274236686570122,4.375049892253501,4.160154672112586,5.555373269003942,4.405706389220276,0.15229737893227235,3.43155762276243,9.912662427728463,3.9756730177158763,7.42832209463236,1.8003985547251666,8.895358960636532,3.1728625037340628,1.1216571654666518,9.650924810693505,6.906988675056417
French Fries,450,9,Artificial,Medium,Crunchy,365,3.4,17.0,48,0.3,3,America,Fried,2.0159998533884425,4.137974665524398,0.7553778059180272,8.944968570594767,0.8266206458395875,3.8793077549956045,7.135982091482822,3.301131313229908,1.7434163049775309,6.253473144331623,8.503704866042158,6.0976836059979975,7.956512128563508,5.204215937773209,6.440495619391902,5.428313623095572
Grilled Chicken,320,7,Natural,Medium,Chewy,335,28.0,14.0,0,0.0,0,America,Grilled,1.57076034945844,3.192769787369939,9.653168665569659,8.275029282487957,4.035275970252781,7.877713734592878,4.0622570217374925,1.4828611066040032,8.7680288350426,3.593538116953444,4.771219327353173,2.4651054814092097,8.569469742305198,6.0777120328715695,6.074280959615436,2.444272429179166
Pizza,700,9,Artificial,Low,Soft,285,12.0,10.0,36,3.0,2,Italian,Baked,7.570945212679089,1.2394109148639643,7.1806329992016416,0.39307488317621986,5.4732416602767,2.068863471068809,6.184856214262235,1.525405158060279,0.7775022544915156,6.9321446989862245,5.815938394288399,6.400605599085123,4.990708930699333,6.056533991714104,0.0012244388575477494,3.290029228531276
Salad,15,6,No,Low,Crunchy,150,5.0,10.0,20,5.0,3,Global,Raw,4.075301444714614,6.940821760812515,3.3306654993005824,2.5026683780644685,3.2488992365448235,0.5450028000266849,0.49346461013301424,2.781874552924055,3.5210670724369066,5.945904568102894,0.5581483114806085,2.9624125362641953,2.504758161235058,7.173042237609858,0.08377596940433385,5.859005087842446
Soup,900,8,Natural,Low,Liquid,120,6.0,3.0,18,2.0,1,Various,Boiled,5.910713203100245,3.132408276761259,4.263887876155314,1.7932914109509446,6.718162116834075,8.537241707123515,1.1203271936990566,4.9601749964857635,0.33961908676441555,6.887042687017014,2.579593429575231,4.709330372358518,7.000310400549167,2.705246955651196,1.3810077526406217,5.634619345976615
Ice Cream,80,9,Artificial,No,Creamy,207,4.0,11.0,24,21.0,0,Global,Frozen,9.678945500581705,8.638478280378425,7.020743620091038,2.7409630151364617,9.47430553161419,5.932481623821854,2.207417233926127,3.088464979189385,1.031108570707704,1.9571225983769092,7.180737363331497,4.850786795036521,8.296550236783883,1.111889942222385,7.686600357142211,8.106271225117895
Steak,55,8,Natural,Medium,Chewy,679,62.0,48.0,0,0.0,0,America,Grilled,8.680459197254947,1.328395086417048,2.872448805486547,0.9289872349988804,1.3324738003191472,9.524211204781768,1.916361230677781,9.007816845971604,6.304832290293226,5.726138237786057,5.64783513630278,3.2829333176538498,7.761356584772628,3.262624552203477,0.41981424190965955,4.1997865333316176
Pasta,150,7,Artificial,Low,Soft,220,8.0,2.0,42,3.0,2,Italian,Boiled,6.653276863788152,0.8948433535975697,6.850724183252886,3.6295145592194125,0.7461418927718522,3.356464682277985,1.6791764503282014,1.831950524982482,2.146407302094885,2.5619123364433607,5.009472559810733,2.4489745703146104,6.548457881897449,6.97137586183099,2.699804846025615,7.497538538615808
Chocolate,20,9,No,No,Smooth,208,2.0,13.0,24,18.0,3,Global,Processed,0.684238275747312,7.1699122076169575,4.609659361481655,0.3266655221444492,1.0835743022795141,2.4336690790745905,3.830201975800623,9.651217048315422,5.357811514767486,1.3312711806434196,8.575690709134417,3.507495244042822,7.533087329094932,8.205147616161995,5.49923449952095,5.063597128741115
Burger,500,9,Artificial,Medium,Chewy,295,17.0,14.0,30,3.0,2,America,Grilled,3.697219086737067,4.133200099918756,2.2692817787537156,3.8159809828615887,6.366426461485696,2.6522837568680058,7.0702953873654595,5.27716780691684,5.429944283072684,7.950891553623942,0.7868828801045069,8.470263706483529,1.080693060797836,3.997072827085616,1.5734566786034065,9.57383873951972
